Country;Age_group;Sex;COP;n;x;Prevalence;lower;upper;p_value_Age_group;p_value_Sex
LT;40-49;Total;Dt<0.1;250;69;27.6;22.4;33.5;;0.25542245535619557
LT;50-59;Males;Dt<0.1;94;43;45.7;36;55.9;;
LT;50-59;Females;Dt<0.1;156;78;50;42.2;57.8;;
LT;50-59;Total;Dt<0.1;250;121;48.4;42.3;54.6;;0.5144629059045849
LT;Total;Males;Dt<0.1;210;71;33.8;27.7;40.5;0.001156443575363807;
LT;Total;Females;Dt<0.1;290;119;41;35.5;46.8;8.936408564985055e-4;
LT;Total;Total;Dt<0.1;500;190;38;33.8;42.3;2.104523610322029e-6;0.10086901917144601
NL;40-49;Males;Dt<0.1;318;161;50.6;45.1;56.1;;
NL;40-49;Females;Dt<0.1;512;308;60.2;55.8;64.3;;
NL;40-49;Total;Dt<0.1;830;469;56.5;53.1;59.8;;0.007216361926025123
NL;50-59;Males;Dt<0.1;334;175;52.4;47;57.7;;
NL;50-59;Females;Dt<0.1;480;302;62.9;58.5;67.1;;
NL;50-59;Total;Dt<0.1;814;477;58.6;55.2;61.9;;0.002779499308548395
NL;Total;Males;Dt<0.1;652;336;51.5;47.7;55.4;0.6519465944035597;
NL;Total;Females;Dt<0.1;992;610;61.5;58.4;64.5;0.37200434864898047;
NL;Total;Total;Dt<0.1;1644;946;57.5;55.1;59.9;0.39059155167612736;6.659739545279448e-5
NO;40-49;Males;Dt<0.1;0;0;;;;;
NO;40-49;Females;Dt<0.1;0;0;;;;;
NO;40-49;Total;Dt<0.1;251;80;31.9;26.4;37.9;;
NO;50-59;Males;Dt<0.1;0;0;;;;;
NO;50-59;Females;Dt<0.1;0;0;;;;;
NO;50-59;Total;Dt<0.1;251;82;32.7;27.2;38.7;;
NO;Total;Males;Dt<0.1;0;0;;;;;
NO;Total;Females;Dt<0.1;0;0;;;;;
NO;Total;Total;Dt<0.1;502;162;32.3;28.3;36.5;0.8485795973287162;
PT;40-49;Males;Dt<0.1;125;46;36.8;28.8;45.6;;
PT;40-49;Females;Dt<0.1;125;60;48;39.4;56.7;;
PT;40-49;Total;Dt<0.1;250;106;42.4;36.4;48.6;;0.07386388857435368
PT;50-59;Males;Dt<0.1;125;50;40;31.8;48.8;;
PT;50-59;Females;Dt<0.1;125;54;43.2;34.8;52;;
PT;50-59;Total;Dt<0.1;250;104;41.6;35.6;47.8;;0.6078403227000884
PT;Total;Males;Dt<0.1;250;96;38.4;32.6;44.6;0.603034867627102;
PT;Total;Females;Dt<0.1;250;114;45.6;39.5;51.8;0.44629999271815385;
PT;Total;Total;Dt<0.1;500;210;42;37.7;46.4;0.8561965437212549;0.10323344274889437
RO;40-49;Males;Dt<0.1;126;98;77.8;69.7;84.2;;
RO;40-49;Females;Dt<0.1;126;97;77;68.8;83.5;;
RO;40-49;Total;Dt<0.1;252;195;77.4;71.8;82.1;;0.8803178238893907
RO;50-59;Males;Dt<0.1;126;91;72.2;63.8;79.3;;
RO;50-59;Females;Dt<0.1;126;96;76.2;68;82.8;;
RO;50-59;Total;Dt<0.1;252;187;74.2;68.4;79.2;;0.47190516425220097
RO;Total;Males;Dt<0.1;252;189;75;69.3;80;0.309293893471928;
RO;Total;Females;Dt<0.1;252;193;76.6;71;81.4;0.8817448915653374;
RO;Total;Total;Dt<0.1;504;382;75.8;71.9;79.3;0.40570534496276345;0.6774735143644839
SK;40-49;Males;Dt<0.1;125;76;60.8;52;69;;
SK;40-49;Females;Dt<0.1;125;85;68;59.3;75.6;;
SK;40-49;Total;Dt<0.1;250;161;64.4;58.3;70.1;;0.23512801540660475
SK;50-59;Males;Dt<0.1;125;86;68.8;60.2;76.3;;
SK;50-59;Females;Dt<0.1;125;92;73.6;65.2;80.6;;
SK;50-59;Total;Dt<0.1;250;178;71.2;65.3;76.5;;0.40244546549469074
SK;Total;Males;Dt<0.1;250;162;64.8;58.7;70.5;0.1861376571164934;
SK;Total;Females;Dt<0.1;250;177;70.8;64.9;76.1;0.3307770577718356;
SK;Total;Total;Dt<0.1;500;339;67.8;63.6;71.8;0.10419714384065686;0.15153509132978746
SI;40-49;Males;Dt<0.1;122;30;24.6;17.8;33;;
SI;40-49;Females;Dt<0.1;141;40;28.4;21.5;36.4;;
SI;40-49;Total;Dt<0.1;263;70;26.6;21.6;32.3;;0.4895576645663292
SI;50-59;Males;Dt<0.1;117;39;33.3;25.4;42.3;;
SI;50-59;Females;Dt<0.1;144;60;41.7;33.9;49.9;;
SI;50-59;Total;Dt<0.1;261;99;37.9;32.2;44;;0.1683216802403092
SI;Total;Males;Dt<0.1;239;69;28.9;23.5;34.9;0.13709718987831926;
SI;Total;Females;Dt<0.1;285;100;35.1;29.8;40.8;0.019235533969993848;
SI;Total;Total;Dt<0.1;524;169;32.3;28.4;36.4;0.005786400213642891;0.12986229852634712
SE;40-49;Males;Dt<0.1;124;67;54;45.2;62.6;;
SE;40-49;Females;Dt<0.1;129;81;62.8;54.1;70.7;;
SE;40-49;Total;Dt<0.1;253;148;58.5;52.3;64.4;;0.1581507369531284
SE;50-59;Males;Dt<0.1;114;66;57.9;48.7;66.6;;
SE;50-59;Females;Dt<0.1;137;90;65.7;57.4;73.2;;
SE;50-59;Total;Dt<0.1;251;156;62.2;56;67.9;;0.20527657661139598
SE;Total;Males;Dt<0.1;238;133;55.9;49.5;62.1;0.548939362526078;
SE;Total;Females;Dt<0.1;266;171;64.3;58.3;69.8;0.6215260452940934;
SE;Total;Total;Dt<0.1;504;304;60.3;56;64.5;0.4020401967119511;0.05457077030198177
UK;40-49;Males;Dt<0.1;131;92;70.2;61.9;77.4;;
UK;40-49;Females;Dt<0.1;119;87;73.1;64.5;80.3;;
UK;40-49;Total;Dt<0.1;250;179;71.6;65.7;76.8;;0.6141165800894128
UK;50-59;Males;Dt<0.1;129;100;77.5;69.5;83.9;;
UK;50-59;Females;Dt<0.1;118;95;80.5;72.4;86.7;;
UK;50-59;Total;Dt<0.1;249;197;79.1;73.6;83.7;;0.5651666535673511
UK;Total;Males;Dt<0.1;260;192;73.8;68.2;78.8;0.18220390754137028;
UK;Total;Females;Dt<0.1;237;182;76.8;71;81.7;0.17877552730685223;
UK;Total;Total;Dt<0.1;499;376;75.4;71.4;78.9;0.05213795016229297;0.44722482718099377
AT;40-49;Males;PT≥100;107;4;2.5;0;8.81;;
AT;40-49;Females;PT≥100;143;9;5.8;1.52;12.09;;
AT;40-49;Total;PT≥100;250;13;4.3;1.24;8.55;;0.36992
AT;50-59;Males;PT≥100;114;4;2.18;0;8.12;;
AT;50-59;Females;PT≥100;136;5;2.37;0;7.76;;
AT;50-59;Total;PT≥100;250;9;2.2;0;5.9;;0.96684
AT;Total;Males;PT≥100;221;8;2.23;0;6.22;0.86368;
AT;Total;Females;PT≥100;279;14;4.05;1.19;7.98;0.31796;
AT;Total;Total;PT≥100;500;22;3.2;1.13;5.89;0.38796;0.45374
BE;40-49;Males;PT≥100;98;9;9.66;3.47;18.6;;
BE;40-49;Females;PT≥100;154;10;6.05;1.82;12.16;;
BE;40-49;Total;PT≥100;252;19;7.37;3.63;12.24;;0.42514
